model,rank,lambda,epoch,corruption,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VAE-CF,100,0.0001,300,0.3,,"[0.0494, 0.0024]","[0.0468, 0.002]","[0.0449, 0.0017]","[0.0532, 0.0033]","[0.0382, 0.0011]","[0.1405, 0.0037]","[0.0435, 0.0017]","[0.0405, 0.0014]","[0.0382, 0.0012]","[0.0487, 0.0025]","[0.0305, 0.0008]","[0.0473, 0.0025]","[0.0897, 0.0045]","[0.1222, 0.0051]","[0.1512, 0.0056]","[0.051, 0.0034]","[0.2927, 0.0075]"
VAE-CF,100,0.0001,300,0.4,,"[0.0497, 0.0024]","[0.0472, 0.002]","[0.0453, 0.0018]","[0.0532, 0.0032]","[0.0385, 0.0012]","[0.1405, 0.0037]","[0.0442, 0.0018]","[0.0412, 0.0014]","[0.0389, 0.0012]","[0.0495, 0.0025]","[0.0307, 0.0008]","[0.048, 0.0026]","[0.0889, 0.0044]","[0.1225, 0.0051]","[0.153, 0.0057]","[0.0516, 0.0034]","[0.293, 0.0075]"
VAE-CF,100,0.0001,300,0.5,,"[0.0513, 0.0025]","[0.0483, 0.002]","[0.0461, 0.0018]","[0.0557, 0.0033]","[0.039, 0.0012]","[0.1419, 0.0037]","[0.0446, 0.0018]","[0.0408, 0.0014]","[0.0388, 0.0012]","[0.051, 0.0025]","[0.031, 0.0008]","[0.0476, 0.0026]","[0.0891, 0.0044]","[0.121, 0.0051]","[0.1509, 0.0056]","[0.0517, 0.0034]","[0.2941, 0.0075]"
VAE-CF,100,0.001,300,0.2,,"[0.0495, 0.0024]","[0.0469, 0.002]","[0.0449, 0.0017]","[0.0535, 0.0032]","[0.0382, 0.0011]","[0.1401, 0.0037]","[0.0436, 0.0017]","[0.0403, 0.0014]","[0.0381, 0.0012]","[0.0502, 0.0025]","[0.0305, 0.0008]","[0.0472, 0.0025]","[0.089, 0.0044]","[0.1202, 0.0051]","[0.1513, 0.0057]","[0.0522, 0.0034]","[0.292, 0.0075]"
VAE-CF,100,0.001,300,0.3,,"[0.0506, 0.0024]","[0.0478, 0.002]","[0.0457, 0.0018]","[0.0545, 0.0033]","[0.0387, 0.0012]","[0.1412, 0.0038]","[0.0442, 0.0017]","[0.0409, 0.0014]","[0.0383, 0.0012]","[0.0504, 0.0025]","[0.0309, 0.0008]","[0.0485, 0.0026]","[0.0883, 0.0043]","[0.1201, 0.005]","[0.15, 0.0056]","[0.0523, 0.0034]","[0.2916, 0.0074]"
VAE-CF,100,0.001,300,0.4,,"[0.0515, 0.0024]","[0.0487, 0.002]","[0.0464, 0.0018]","[0.0555, 0.0033]","[0.039, 0.0012]","[0.1409, 0.0037]","[0.0452, 0.0018]","[0.0415, 0.0014]","[0.0386, 0.0012]","[0.0514, 0.0025]","[0.0308, 0.0008]","[0.0488, 0.0026]","[0.0888, 0.0043]","[0.1204, 0.005]","[0.1483, 0.0055]","[0.0521, 0.0034]","[0.291, 0.0074]"
VAE-CF,100,0.001,300,0.5,,"[0.0506, 0.0024]","[0.0479, 0.002]","[0.0458, 0.0018]","[0.0544, 0.0033]","[0.0386, 0.0012]","[0.1393, 0.0037]","[0.0448, 0.0017]","[0.0411, 0.0014]","[0.0383, 0.0012]","[0.0504, 0.0025]","[0.0307, 0.0008]","[0.048, 0.0026]","[0.0872, 0.0043]","[0.1198, 0.005]","[0.1455, 0.0054]","[0.051, 0.0034]","[0.2881, 0.0074]"
VAE-CF,100,0.01,300,0.2,,"[0.0482, 0.0024]","[0.0457, 0.002]","[0.0436, 0.0018]","[0.0524, 0.0033]","[0.0364, 0.0012]","[0.1245, 0.0035]","[0.0424, 0.0018]","[0.0391, 0.0014]","[0.0364, 0.0012]","[0.0471, 0.0025]","[0.0285, 0.0008]","[0.0451, 0.0024]","[0.0757, 0.0038]","[0.104, 0.0044]","[0.1294, 0.005]","[0.0432, 0.0028]","[0.2492, 0.0067]"
VAE-CF,100,0.01,300,0.3,,"[0.0479, 0.0024]","[0.0454, 0.002]","[0.0433, 0.0018]","[0.0521, 0.0033]","[0.0361, 0.0012]","[0.1231, 0.0035]","[0.0425, 0.0018]","[0.0391, 0.0014]","[0.0361, 0.0012]","[0.0468, 0.0025]","[0.0283, 0.0008]","[0.0443, 0.0024]","[0.0752, 0.0037]","[0.1032, 0.0044]","[0.1277, 0.0049]","[0.0427, 0.0028]","[0.2457, 0.0067]"
VAE-CF,100,0.01,300,0.4,,"[0.0474, 0.0024]","[0.0447, 0.002]","[0.0426, 0.0018]","[0.0516, 0.0033]","[0.0356, 0.0012]","[0.1209, 0.0034]","[0.0418, 0.0017]","[0.038, 0.0014]","[0.0354, 0.0012]","[0.0467, 0.0025]","[0.0278, 0.0008]","[0.0442, 0.0024]","[0.0737, 0.0037]","[0.1007, 0.0044]","[0.1247, 0.0049]","[0.0424, 0.0028]","[0.241, 0.0066]"
VAE-CF,100,0.01,300,0.5,,"[0.0462, 0.0024]","[0.0437, 0.002]","[0.0417, 0.0018]","[0.05, 0.0032]","[0.0348, 0.0012]","[0.1179, 0.0034]","[0.0408, 0.0017]","[0.0374, 0.0014]","[0.0347, 0.0012]","[0.0451, 0.0024]","[0.0273, 0.0008]","[0.0432, 0.0023]","[0.0712, 0.0036]","[0.0978, 0.0042]","[0.1214, 0.0048]","[0.0399, 0.0026]","[0.2339, 0.0065]"
VAE-CF,100,0.1,300,0.2,,"[0.0157, 0.0014]","[0.0153, 0.0012]","[0.0149, 0.0011]","[0.0155, 0.0018]","[0.0138, 0.0008]","[0.0398, 0.0018]","[0.0154, 0.0011]","[0.0138, 0.0009]","[0.0136, 0.0008]","[0.0156, 0.0015]","[0.0125, 0.0006]","[0.0152, 0.0012]","[0.0184, 0.0014]","[0.0251, 0.0018]","[0.0327, 0.002]","[0.0092, 0.001]","[0.0759, 0.0033]"
VAE-CF,100,0.1,300,0.3,,"[0.0155, 0.0014]","[0.0152, 0.0012]","[0.0148, 0.0011]","[0.0155, 0.0018]","[0.0138, 0.0008]","[0.0395, 0.0017]","[0.0153, 0.0011]","[0.0138, 0.0009]","[0.0136, 0.0008]","[0.0154, 0.0015]","[0.0125, 0.0006]","[0.015, 0.0012]","[0.0182, 0.0014]","[0.0252, 0.0018]","[0.0326, 0.002]","[0.0089, 0.001]","[0.0756, 0.0033]"
VAE-CF,100,0.1,300,0.4,,"[0.0154, 0.0014]","[0.015, 0.0012]","[0.0147, 0.0011]","[0.0154, 0.0018]","[0.0137, 0.0007]","[0.0393, 0.0017]","[0.0152, 0.0011]","[0.0138, 0.0009]","[0.0135, 0.0008]","[0.0154, 0.0015]","[0.0124, 0.0006]","[0.0148, 0.0011]","[0.018, 0.0014]","[0.0252, 0.0018]","[0.0323, 0.002]","[0.0088, 0.001]","[0.0752, 0.0032]"
VAE-CF,100,0.1,300,0.5,,"[0.0153, 0.0014]","[0.015, 0.0012]","[0.0146, 0.0011]","[0.0152, 0.0018]","[0.0136, 0.0007]","[0.0388, 0.0017]","[0.0152, 0.0011]","[0.0138, 0.0009]","[0.0134, 0.0008]","[0.0152, 0.0015]","[0.0123, 0.0006]","[0.0147, 0.0011]","[0.0177, 0.0014]","[0.0253, 0.0018]","[0.0319, 0.002]","[0.0087, 0.001]","[0.0736, 0.0032]"
VAE-CF,200,1e-05,300,0.2,,"[0.0433, 0.0022]","[0.0417, 0.0019]","[0.0403, 0.0016]","[0.0456, 0.003]","[0.035, 0.0011]","[0.1326, 0.0036]","[0.0401, 0.0016]","[0.0376, 0.0013]","[0.0356, 0.0011]","[0.0438, 0.0024]","[0.0287, 0.0007]","[0.0422, 0.0025]","[0.0865, 0.0045]","[0.1184, 0.0051]","[0.1483, 0.0057]","[0.0482, 0.0034]","[0.285, 0.0075]"
VAE-CF,200,1e-05,300,0.3,,"[0.0454, 0.0023]","[0.0434, 0.0019]","[0.0419, 0.0017]","[0.0476, 0.0031]","[0.0362, 0.0011]","[0.1354, 0.0036]","[0.0411, 0.0017]","[0.0385, 0.0013]","[0.0364, 0.0011]","[0.0459, 0.0024]","[0.0294, 0.0007]","[0.0436, 0.0025]","[0.0859, 0.0044]","[0.1199, 0.0051]","[0.1507, 0.0057]","[0.0494, 0.0034]","[0.2885, 0.0076]"
VAE-CF,200,1e-05,300,0.4,,"[0.0481, 0.0024]","[0.0457, 0.002]","[0.0439, 0.0017]","[0.0516, 0.0032]","[0.0375, 0.0011]","[0.1398, 0.0037]","[0.0425, 0.0017]","[0.0398, 0.0014]","[0.0375, 0.0012]","[0.0486, 0.0025]","[0.0302, 0.0007]","[0.046, 0.0026]","[0.0889, 0.0045]","[0.1222, 0.0051]","[0.1519, 0.0057]","[0.0514, 0.0035]","[0.2947, 0.0076]"
VAE-CF,200,1e-05,300,0.5,,"[0.0483, 0.0024]","[0.0461, 0.002]","[0.0445, 0.0017]","[0.0516, 0.0032]","[0.0381, 0.0011]","[0.1405, 0.0037]","[0.0435, 0.0017]","[0.0409, 0.0014]","[0.0387, 0.0012]","[0.0479, 0.0025]","[0.0305, 0.0008]","[0.0464, 0.0026]","[0.0892, 0.0044]","[0.1241, 0.0051]","[0.1539, 0.0057]","[0.0506, 0.0034]","[0.2952, 0.0076]"
VAE-CF,200,0.0001,300,0.2,,"[0.0442, 0.0023]","[0.0424, 0.0019]","[0.041, 0.0017]","[0.0468, 0.003]","[0.0355, 0.0011]","[0.1339, 0.0037]","[0.0402, 0.0017]","[0.0379, 0.0013]","[0.0359, 0.0012]","[0.0446, 0.0024]","[0.0289, 0.0007]","[0.0435, 0.0025]","[0.0846, 0.0044]","[0.1185, 0.0051]","[0.1467, 0.0056]","[0.0483, 0.0034]","[0.2873, 0.0076]"
VAE-CF,200,0.0001,300,0.3,,"[0.0458, 0.0023]","[0.0438, 0.0019]","[0.0423, 0.0017]","[0.0481, 0.0031]","[0.0363, 0.0011]","[0.1366, 0.0037]","[0.0417, 0.0017]","[0.039, 0.0013]","[0.0368, 0.0012]","[0.046, 0.0024]","[0.0293, 0.0007]","[0.0451, 0.0026]","[0.0895, 0.0046]","[0.1215, 0.0051]","[0.1511, 0.0057]","[0.0502, 0.0035]","[0.29, 0.0076]"
